month_yyyy_mm,total_rate_100k,total_doses,pos_monthly,rate_100k_Acute,rate_100k_Ambulance,rate_100k_Clinical_Commissioning_Group,rate_100k_Commissioning_Support_Unit,rate_100k_Community_Provider_Trust,rate_100k_Mental_Health,rate_100k_Others,rate_100k_Integrated_Care_Board
2021-12,6175.333600249087,223480,16.0661290322581,4334.002391447097,348.3010385523408,51.707298584235666,17.115727000857643,299.8329577657824,1030.8154875739558,93.55869932481774,0
2022-01,6694.652318090814,65120,22.1267741935484,4758.028253952372,370.09281083877994,51.68836618778295,15.97537319384042,317.8015656949013,1081.989375746127,99.07657247701012,0
2022-02,5611.740112194674,17760,11.6778571428571,3958.3807422556447,318.44050716130573,46.11054511226818,13.83604187320939,275.34762105323415,913.6472482302759,85.97740650873571,0
2022-03,6019.694840605465,32560,18.5751612903226,4271.9043583550365,338.67547197204567,49.228621534906345,14.413216302335504,295.5671454591472,956.7027385782729,93.20328840372046,0
2022-04,5773.314838339747,7400,9.61533333333333,4064.0482242333014,342.2043004289968,46.2566512146129,14.030242313220029,283.9490568022539,935.9747722351369,86.85159111222583,0
2022-05,4900.41698060557,7400,3.5058064516129,3424.0970641978097,282.11519181790834,0,13.15407005721368,239.576068323833,827.6289962092786,73.06755816725602,40.778031832269846
2022-06,5215.198127050621,1480,5.32233333333333,3655.382533725593,293.49189522954407,0,14.833408988864901,253.42517253635467,873.8868803225096,79.73011664350264,44.44811960425219
2022-07,6048.262294693344,2960,9.11129032258065,4304.193346623825,323.56796959591367,0,14.51177246100247,284.467693175667,979.0035495544927,90.36050134521588,52.157461937226685
2022-08,5007.601101845581,0,5.17387096774194,3530.12308303509,275.15583476574346,0,13.072730272667808,232.46896760659172,834.7974093297862,76.91472884451117,45.068347991190215
2022-09,5014.071895564325,NA,5.85133333333333,3530.595354810019,277.7826586771967,0,13.057158443391934,237.21108107754887,831.5449756439255,77.65283091499522,46.22783599724803
2022-10,5603.5856290155425,NA,9.34612903225806,3952.572785224192,294.24124070540745,0,15.823922381379905,269.06292728976916,932.0793307346361,88.95231215019243,50.853110529965505
2022-11,5444.147560580552,NA,6.489,3829.4656470613404,280.85642001005465,0,16.1761699613161,260.36780920743,915.7370035518068,88.12438676599098,53.42012402261426
2022-12,6284.255446381391,NA,9.87354838709677,4449.0452874202665,332.87443280375,0,17.41479195200231,299.7988547403707,1035.9010874415146,93.43901908402049,55.78197293946696
2023-01,5324.883339971641,NA,8.46935483870968,3723.860569349155,281.54374910446586,0,14.477043018234799,257.94990122511797,912.0315029704448,83.98618594554657,51.034388358677084
2023-02,4995.117084373782,NA,10.5360714285714,3499.920607836468,259.37551366073086,0,13.65480117773683,241.62578579013748,851.5862977140872,80.31851434401065,48.63556385061072
2023-03,4944.790929061006,NA,10.4941935483871,3483.3658160294704,247.5041051436342,0,14.03855919382751,238.8524133595163,831.2639448714289,81.82731964370042,47.9387708194285
2023-04,4508.549488873575,NA,10.1946666666667,3150.867465575969,239.85050159886842,0,13.900044596753958,216.05203703116655,772.9922583808409,71.829522157901,43.05765953207433
2023-05,4463.405505682145,NA,9.06290322580645,3109.548279559475,230.40240583923608,0,13.08390454317491,216.41869794785853,777.800585766681,72.82850628515781,43.323125740563086
